"Year","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","demo.note","proc.note","edited","plantid","Plot","trt","obs.alive","surv"
2019,2,NA,12.5,0,NA,"",NA,FALSE,"3169_2_12J","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3169_2_12J","2","control",FALSE,TRUE
2021,1,NA,12.5,0,NA,"",NA,FALSE,"3169_2_12J","2","control",TRUE,TRUE
2022,3,33,9,2,"SOS","",NA,FALSE,"3169_2_12J","2","control",TRUE,TRUE
2023,2,23,11,1,"5","",NA,FALSE,"3169_2_12J","2","control",TRUE,TRUE
2016,4,NA,6.8,1,"2.2","",NA,FALSE,"3170_5_9D","5","drought",TRUE,TRUE
2017,3,NA,13,1,"2.5","",NA,FALSE,"3170_5_9D","5","drought",TRUE,TRUE
2018,2,16,16,0,NA,"",NA,FALSE,"3170_5_9D","5","drought",TRUE,TRUE
2019,1,NA,10.5,0,NA,"",NA,FALSE,"3170_5_9D","5","drought",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"NPNT","NA; survival imputed based on subsq. record",TRUE,"3170_5_9D","5","drought",FALSE,TRUE
2021,NA,NA,NA,NA,NA,"NPNT","NA; survival imputed based on subsq. record",TRUE,"3170_5_9D","5","drought",FALSE,TRUE
2022,3,NA,12.5,0,NA,"",NA,FALSE,"3170_5_9D","5","drought",TRUE,TRUE
2023,0,NA,NA,NA,NA,"NP",NA,FALSE,"3170_5_9D","5","drought",FALSE,FALSE
2019,2,15,14,1,"3","one leaf partially eaten",NA,FALSE,"3171_2_11F","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3171_2_11F","2","control",FALSE,FALSE
2021,NA,NA,NA,NA,NA,"NT, new tag is 3588",NA,FALSE,"3171_2_11F","2","control",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP and tag pulled. In 2021 given new tag 3588, but in 2022 it is separate from 3588",NA,FALSE,"3171_2_11F","2","control",FALSE,FALSE
2019,2,7.5,10.5,1,"2","",NA,FALSE,"3172_2_17A","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3172_2_17A","2","control",FALSE,TRUE
2021,2,NA,17.5,1,NA,"umble eaten",NA,FALSE,"3172_2_17A","2","control",TRUE,TRUE
2022,3,38,13,2,"SOS","",NA,FALSE,"3172_2_17A","2","control",TRUE,TRUE
2023,2,25,14,2,"SOS","",NA,FALSE,"3172_2_17A","2","control",TRUE,TRUE
2019,1,9.5,12,1,"1.5","",NA,FALSE,"3173_2_14B","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3173_2_14B","2","control",FALSE,FALSE
2021,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3173_2_14B","2","control",FALSE,FALSE
2022,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3173_2_14B","2","control",FALSE,FALSE
2023,NA,NA,NA,NA,NA,"NPNT > 2 years.",NA,FALSE,"3173_2_14B","2","control",FALSE,FALSE
2016,3,NA,4.8,2,"3","2 stalks",NA,FALSE,"3173_6_18F","6","irrigated",TRUE,TRUE
2017,4,NA,9.5,1,"2","",NA,FALSE,"3173_6_18F","6","irrigated",TRUE,TRUE
2018,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3173_6_18F","6","irrigated",FALSE,FALSE
2019,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3173_6_18F","6","irrigated",FALSE,FALSE
2020,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3173_6_18F","6","irrigated",FALSE,FALSE
2021,2,20.5,14,1,"3.5","","NA; tag modified for gap",TRUE,"3173b_6_18F","6","irrigated",TRUE,TRUE
2022,4,45,18,4,"SOS","","NA; tag modified for gap",TRUE,"3173b_6_18F","6","irrigated",TRUE,TRUE
2023,2,26,20,1,"5","","NA; tag modified for gap",TRUE,"3173b_6_18F","6","irrigated",TRUE,TRUE
2016,3,NA,4.1,1,"3.1","",NA,FALSE,"3174_5_10I","5","drought",TRUE,TRUE
2017,2,NA,11,0,NA,"",NA,FALSE,"3174_5_10I","5","drought",TRUE,TRUE
2018,2,13.5,13.5,0,NA,"",NA,FALSE,"3174_5_10I","5","drought",TRUE,TRUE
2019,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3174_5_10I","5","drought",FALSE,FALSE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3174_5_10I","5","drought",FALSE,FALSE
2021,NA,NA,NA,NA,NA,"NPNT, maybe new tag 5033",NA,FALSE,"3174_5_10I","5","drought",FALSE,FALSE
2022,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3174_5_10I","5","drought",FALSE,FALSE
2023,0,NA,NA,NA,NA,"NP. Tag pulled.",NA,FALSE,"3174_5_10I","5","drought",FALSE,FALSE
2019,1,NA,9,0,NA,"",NA,FALSE,"3175_2_15A","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3175_2_15A","2","control",FALSE,TRUE
2021,2,18,11.5,1,"3.5","",NA,FALSE,"3175_2_15A","2","control",TRUE,TRUE
2022,2,18,23,1,"3","",NA,FALSE,"3175_2_15A","2","control",TRUE,TRUE
2023,3,27,12,2,"SOS","1 umbel dead.",NA,FALSE,"3175_2_15A","2","control",TRUE,TRUE
2016,6,NA,3.8,1,"3.8","",NA,FALSE,"3176_5_18E","5","drought",TRUE,TRUE
2019,1,NA,10,0,NA,"",NA,FALSE,"3176_7_18I","7","drought",TRUE,TRUE
2020,1,NA,9.5,0,NA,"",NA,FALSE,"3176_7_18I","7","drought",TRUE,TRUE
2021,1,NA,17,0,NA,"",NA,FALSE,"3176_7_18I","7","drought",TRUE,TRUE
2022,1,NA,32,0,NA,"",NA,FALSE,"3176_7_18I","7","drought",TRUE,TRUE
2023,1,34,21.5,1,"4.5","",NA,FALSE,"3176_7_18I","7","drought",TRUE,TRUE
2016,3,NA,15.5,1,"1.5","",NA,FALSE,"3177_15_6G","15","drought",TRUE,TRUE
2017,7,NA,16,3,"3","",NA,FALSE,"3177_15_6G","15","drought",TRUE,TRUE
2018,4,24.5,19,2,"3.2","",NA,FALSE,"3177_15_6G","15","drought",TRUE,TRUE
2019,0,NA,NA,NA,NA,"no plant","NA; survival imputed based on subsq. record",TRUE,"3177_15_6G","15","drought",FALSE,TRUE
2020,1,NA,19.3,0,NA,"",NA,FALSE,"3177_15_6G","15","drought",TRUE,TRUE
2021,3,NA,23,0,NA,"",NA,FALSE,"3177_15_6G","15","drought",TRUE,TRUE
2022,7,36,22.5,4,"SOS","",NA,FALSE,"3177_15_6G","15","drought",TRUE,TRUE
2023,6,50,24,3,"SOS","1 umbel dead",NA,FALSE,"3177_15_6G","15","drought",TRUE,TRUE
2019,3,NA,11,0,NA,"",NA,FALSE,"3177_7_15E","7","drought",TRUE,TRUE
2020,1,NA,11.6,0,NA,"",NA,FALSE,"3177_7_15E","7","drought",TRUE,TRUE
2021,1,NA,10,0,NA,"",NA,FALSE,"3177_7_15E","7","drought",TRUE,TRUE
2022,2,NA,23,0,NA,"",NA,FALSE,"3177_7_15E","7","drought",TRUE,TRUE
2023,1,NA,17,0,NA,"",NA,FALSE,"3177_7_15E","7","drought",TRUE,TRUE
2017,2,NA,10,2,"3","","tag changed in 2019 (was 3387)",TRUE,"3178_13_2C","13","control",TRUE,TRUE
2018,1,8,8,0,NA,"","tag changed in 2019 (was 3387)",TRUE,"3178_13_2C","13","control",TRUE,TRUE
2019,1,NA,11,0,NA,"duplicate, changed to '3178'","tag changed in 2019 (was 3387)",TRUE,"3178_13_2C","13","control",TRUE,TRUE
2020,1,NA,8.2,0,NA,"old tag=3387",NA,FALSE,"3178_13_2C","13","control",TRUE,TRUE
2021,1,NA,11,0,NA,"old tag=3387",NA,FALSE,"3178_13_2C","13","control",TRUE,TRUE
2022,2,29.5,13,1,"3.5","old tag = 3387 ",NA,FALSE,"3178_13_2C","13","control",TRUE,TRUE
2023,3,33,13,2,"SOS","old tag=3387",NA,FALSE,"3178_13_2C","13","control",TRUE,TRUE
2017,5,NA,15,3,"4","",NA,FALSE,"3178_5_18E","5","drought",TRUE,TRUE
2018,4,17,16.5,2,"3.3","",NA,FALSE,"3178_5_18E","5","drought",TRUE,TRUE
2019,2,12,17,2,"3","",NA,FALSE,"3178_5_18E","5","drought",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3178_5_18E","5","drought",FALSE,TRUE
2021,1,NA,15,0,NA,"",NA,FALSE,"3178_5_18E","5","drought",TRUE,TRUE
2022,5,26,15,2,"SOS","",NA,FALSE,"3178_5_18E","5","drought",TRUE,TRUE
2023,4,25,15,3,"SOS","last leaf munched",NA,FALSE,"3178_5_18E","5","drought",TRUE,TRUE
2019,2,NA,9,0,NA,"",NA,FALSE,"3179_13_15B","13","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3179_13_15B","13","control",FALSE,TRUE
2021,1,NA,15,0,NA,"",NA,FALSE,"3179_13_15B","13","control",TRUE,TRUE
2022,2,NA,21,0,NA,"",NA,FALSE,"3179_13_15B","13","control",TRUE,TRUE
2023,4,36,10,2,"SOS","",NA,FALSE,"3179_13_15B","13","control",TRUE,TRUE
2017,4,NA,18,2,"4","",NA,FALSE,"3179_6_5E","6","irrigated",TRUE,TRUE
2018,5,19.5,14.5,1,"3.9","",NA,FALSE,"3179_6_5E","6","irrigated",TRUE,TRUE
2019,2,23,21,1,"6","",NA,FALSE,"3179_6_5E","6","irrigated",TRUE,TRUE
2020,3,32.6,12.5,2,"SOS","tag missing, new tag: 3748",NA,FALSE,"3179_6_5E","6","irrigated",TRUE,TRUE
2021,3,25.5,15,2,"SOS","",NA,FALSE,"3179_6_5E","6","irrigated",TRUE,TRUE
2022,5,68,16,3,"SOS","pulled replacement tag from 2021 (3748) - didn’t have its own row",NA,FALSE,"3179_6_5E","6","irrigated",TRUE,TRUE
2023,6,44,20,3,"SOS","",NA,FALSE,"3179_6_5E","6","irrigated",TRUE,TRUE
2019,2,NA,15.5,0,NA,"",NA,FALSE,"3180_13_17H","13","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3180_13_17H","13","control",FALSE,TRUE
2021,3,NA,15,0,NA,"",NA,FALSE,"3180_13_17H","13","control",TRUE,TRUE
2022,2,28,15,1,"4.5","",NA,FALSE,"3180_13_17H","13","control",TRUE,TRUE
2023,6,37,20,3,"SOS","",NA,FALSE,"3180_13_17H","13","control",TRUE,TRUE
2016,7,NA,14,1,"4.2","",NA,FALSE,"3180_5_17B","5","drought",TRUE,TRUE
2017,NA,NA,NA,NA,NA,"NP/NT","NA; survival imputed based on subsq. record",TRUE,"3180_5_17B","5","drought",FALSE,TRUE
2018,3,7,9,1,"2","",NA,FALSE,"3180_5_17B","5","drought",TRUE,TRUE
2019,NA,NA,NA,NA,NA,"NPNT, duplicate tag","coordinates swapped on 2019 records based on prior records",TRUE,"3180_5_17B","5","drought",FALSE,FALSE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3180_5_17B","5","drought",FALSE,FALSE
2021,NA,NA,NA,NA,NA,"NT. Duplicate in 18C. Could not find this tag",NA,FALSE,"3180_5_17B","5","drought",FALSE,FALSE
2022,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3180_5_17B","5","drought",FALSE,FALSE
2023,NA,NA,NA,NA,NA,"weird duplicate! Delete this one!",NA,FALSE,"3180_5_17B","5","drought",FALSE,FALSE
2016,7,NA,7.5,1,"3.5","",NA,FALSE,"3180_5_18C","5","drought",TRUE,TRUE
2017,4,NA,14.5,2,"3.5","",NA,FALSE,"3180_5_18C","5","drought",TRUE,TRUE
2018,3,7.5,10.5,1,"1.9","",NA,FALSE,"3180_5_18C","5","drought",TRUE,TRUE
2019,2,NA,9,0,NA,"","coordinates swapped on 2019 records based on prior records",TRUE,"3180_5_18C","5","drought",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"duplicate tag","NA; survival imputed based on subsq. record",TRUE,"3180_5_18C","5","drought",FALSE,TRUE
2021,1,NA,10.5,0,NA,"Duplicate in 17B. Could only find this tag",NA,FALSE,"3180_5_18C","5","drought",TRUE,TRUE
2022,4,NA,14,0,NA,"Duplicate in 17B. Could only find this tag",NA,FALSE,"3180_5_18C","5","drought",TRUE,TRUE
2023,1,NA,15,0,NA,"this is the real 3180!",NA,FALSE,"3180_5_18C","5","drought",TRUE,TRUE
2019,2,NA,5,0,NA,"",NA,FALSE,"3181_12_11B","12","irrigated",TRUE,TRUE
2020,1,NA,5.4,0,NA,"",NA,FALSE,"3181_12_11B","12","irrigated",TRUE,TRUE
2021,3,NA,10.5,0,NA,"",NA,FALSE,"3181_12_11B","12","irrigated",TRUE,TRUE
2022,0,NA,NA,NA,NA,"NP","NA; survival imputed based on subsq. record",TRUE,"3181_12_11B","12","irrigated",FALSE,TRUE
2023,1,NA,13,0,NA,"",NA,FALSE,"3181_12_11B","12","irrigated",TRUE,TRUE
2019,3,36.5,17.5,1,"3","",NA,FALSE,"3182_4_16H","4","irrigated",TRUE,TRUE
2020,1,NA,15.3,0,NA,"",NA,FALSE,"3182_4_16H","4","irrigated",TRUE,TRUE
2021,2,38,19,1,"4","",NA,FALSE,"3182_4_16H","4","irrigated",TRUE,TRUE
2022,5,62,27,2,"SOS","",NA,FALSE,"3182_4_16H","4","irrigated",TRUE,TRUE
2023,0,NA,NA,NA,NA,"NP. Saw it 5/4, now gone.",NA,FALSE,"3182_4_16H","4","irrigated",FALSE,FALSE
2019,2,NA,15,0,NA,"",NA,FALSE,"3183_13_15A","13","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3183_13_15A","13","control",FALSE,FALSE
2021,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3183_13_15A","13","control",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP, tag pulled",NA,FALSE,"3183_13_15A","13","control",FALSE,FALSE
2017,6,NA,21,2,"4","Ycoord= distance from quadrat (m)",NA,FALSE,"3183_9_130.19","9","irrigated",TRUE,TRUE
2018,3,30,20,1,"4.5","no plant",NA,FALSE,"3183_9_130.19","9","irrigated",TRUE,TRUE
2019,4,26.5,19,1,"3","",NA,FALSE,"3183_9_130.19","9","irrigated",TRUE,TRUE
2020,2,NA,15.5,0,NA,"umbel eaten",NA,FALSE,"3183_9_130.19","9","irrigated",TRUE,TRUE
2021,2,NA,25,0,NA,"13L",NA,FALSE,"3183_9_130.19","9","irrigated",TRUE,TRUE
2022,2,34,20,1,"4.5","13L",NA,FALSE,"3183_9_130.19","9","irrigated",TRUE,TRUE
2023,3,20,24,1,"7","13B (div)",NA,FALSE,"3183_9_130.19","9","irrigated",TRUE,TRUE
2019,1,13,8.5,1,"3.5","",NA,FALSE,"3184_2_9G","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"no plant","NA; survival imputed based on subsq. record",TRUE,"3184_2_9G","2","control",FALSE,TRUE
2021,2,19,11,1,"2.5","",NA,FALSE,"3184_2_9G","2","control",TRUE,TRUE
2022,0,NA,NA,NA,NA,"NP",NA,FALSE,"3184_2_9G","2","control",FALSE,FALSE
2023,0,NA,NA,NA,NA,"NP. Tag pulled.",NA,FALSE,"3184_2_9G","2","control",FALSE,FALSE
2016,4,NA,4,1,"2.4","",NA,FALSE,"3184_5_11E","5","drought",TRUE,TRUE
2017,2,NA,9,2,"3","",NA,FALSE,"3184_5_11E","5","drought",TRUE,TRUE
2018,2,17,8,1,"3","",NA,FALSE,"3184_5_11E","5","drought",TRUE,TRUE
2019,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3184_5_11E","5","drought",FALSE,FALSE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3184_5_11E","5","drought",FALSE,FALSE
2021,0,NA,NA,NA,NA,"NP",NA,FALSE,"3184_5_11E","5","drought",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP. Tag pulled",NA,FALSE,"3184_5_11E","5","drought",FALSE,FALSE
2019,1,NA,11,0,NA,"",NA,FALSE,"3185_2_19B","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3185_2_19B","2","control",FALSE,TRUE
2021,3,16,12,1,"4","",NA,FALSE,"3185_2_19B","2","control",TRUE,TRUE
2022,4,24,14,2,"SOS","",NA,FALSE,"3185_2_19B","2","control",TRUE,TRUE
2023,3,24,16.5,2,"SOS","",NA,FALSE,"3185_2_19B","2","control",TRUE,TRUE
2017,1,NA,8.5,0,NA,"",NA,FALSE,"3185_2_7I","2","control",TRUE,TRUE
2018,NA,NA,NA,NA,NA,"no plant no tag",NA,FALSE,"3185_2_7I","2","control",FALSE,FALSE
2019,0,NA,NA,NA,NA,"found tag but no plant",NA,FALSE,"3185_2_7I","2","control",FALSE,FALSE
2020,1,NA,6.2,0,NA,"","NA; tag modified for gap",TRUE,"3185b_2_7I","2","control",TRUE,TRUE
2021,1,NA,12.5,0,NA,"","NA; tag modified for gap",TRUE,"3185b_2_7I","2","control",TRUE,TRUE
2022,1,NA,14,0,NA,"","NA; tag modified for gap",TRUE,"3185b_2_7I","2","control",TRUE,TRUE
2023,1,NA,16,0,NA,"","NA; tag modified for gap",TRUE,"3185b_2_7I","2","control",TRUE,TRUE
2019,2,13.5,9,1,"3","",NA,FALSE,"3186_2_18D","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3186_2_18D","2","control",FALSE,TRUE
2021,1,NA,9,0,NA,"",NA,FALSE,"3186_2_18D","2","control",TRUE,TRUE
2022,2,NA,17.5,0,NA,"",NA,FALSE,"3186_2_18D","2","control",TRUE,TRUE
2023,2,36,17,1,"5.5","",NA,FALSE,"3186_2_18D","2","control",TRUE,TRUE
2016,4,NA,7.8,1,"1.6","",NA,FALSE,"3186_5_15G","5","drought",TRUE,TRUE
2017,1,NA,11.5,0,NA,"",NA,FALSE,"3186_5_15G","5","drought",TRUE,TRUE
2018,2,15,15,0,NA,"",NA,FALSE,"3186_5_15G","5","drought",TRUE,TRUE
2019,1,NA,13,0,NA,"",NA,FALSE,"3186_5_15G","5","drought",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3186_5_15G","5","drought",FALSE,FALSE
2021,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3186_5_15G","5","drought",FALSE,FALSE
2022,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3186_5_15G","5","drought",FALSE,FALSE
2023,NA,NA,NA,NA,NA,"NPNT > 2 years.",NA,FALSE,"3186_5_15G","5","drought",FALSE,FALSE
2016,4,NA,6.6,1,"2.1","",NA,FALSE,"3187_13_1J","13","control",TRUE,TRUE
2017,6,NA,14,2,"3.5","",NA,FALSE,"3187_13_1J","13","control",TRUE,TRUE
2018,4,14.5,9.5,2,"2.5","",NA,FALSE,"3187_13_1J","13","control",TRUE,TRUE
2019,4,25,15,2,"3","",NA,FALSE,"3187_13_1J","13","control",TRUE,TRUE
2020,2,NA,13.2,0,NA,"",NA,FALSE,"3187_13_1J","13","control",TRUE,TRUE
2021,3,17,10,1,"3.5","",NA,FALSE,"3187_13_1J","13","control",TRUE,TRUE
2022,4,39,17,2,"SOS","",NA,FALSE,"3187_13_1J","13","control",TRUE,TRUE
2023,7,45.5,14,4,"SOS","1 umbel dead?",NA,FALSE,"3187_13_1J","13","control",TRUE,TRUE
2019,1,NA,11,0,NA,"",NA,FALSE,"3187_2_19C","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3187_2_19C","2","control",FALSE,TRUE
2021,1,NA,12,0,NA,"",NA,FALSE,"3187_2_19C","2","control",TRUE,TRUE
2022,0,NA,NA,NA,NA,"NP",NA,FALSE,"3187_2_19C","2","control",FALSE,FALSE
2023,0,NA,NA,NA,NA,"NP. Tag pulled.",NA,FALSE,"3187_2_19C","2","control",FALSE,FALSE
2019,1,NA,9,0,NA,"",NA,FALSE,"3188_2_19B","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3188_2_19B","2","control",FALSE,TRUE
2021,1,NA,9,0,NA,"",NA,FALSE,"3188_2_19B","2","control",TRUE,TRUE
2022,1,NA,17.5,0,NA,"",NA,FALSE,"3188_2_19B","2","control",TRUE,TRUE
2023,2,23,12,1,"4","seeding umbel",NA,FALSE,"3188_2_19B","2","control",TRUE,TRUE
2019,1,NA,11,0,NA,"",NA,FALSE,"3189_2_19C","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3189_2_19C","2","control",FALSE,TRUE
2021,0,NA,NA,NA,NA,"NP","NA; survival imputed based on subsq. record",TRUE,"3189_2_19C","2","control",FALSE,TRUE
2022,1,NA,14.5,0,NA,"",NA,FALSE,"3189_2_19C","2","control",TRUE,TRUE
2023,1,NA,11,0,NA,"",NA,FALSE,"3189_2_19C","2","control",TRUE,TRUE
2016,3,NA,10.1,0,NA,"",NA,FALSE,"3190_10_1B","10","drought",TRUE,TRUE
2017,1,NA,14.5,0,NA,"",NA,FALSE,"3190_10_1B","10","drought",TRUE,TRUE
2018,2,23,12,1,"3","",NA,FALSE,"3190_10_1B","10","drought",TRUE,TRUE
2019,2,22,14,1,"2","",NA,FALSE,"3190_10_1B","10","drought",TRUE,TRUE
2020,0,NA,NA,NA,NA,"no plant","NA; survival imputed based on subsq. record",TRUE,"3190_10_1B","10","drought",FALSE,TRUE
2021,2,24,13.5,1,"4","",NA,FALSE,"3190_10_1B","10","drought",TRUE,TRUE
2022,3,52,17,2,"SOS","",NA,FALSE,"3190_10_1B","10","drought",TRUE,TRUE
2023,3,60,23.5,2,"SOS","",NA,FALSE,"3190_10_1B","10","drought",TRUE,TRUE
2019,1,NA,12,0,NA,"",NA,FALSE,"3190_2_18C","2","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3190_2_18C","2","control",FALSE,TRUE
2021,1,NA,10.5,0,NA,"",NA,FALSE,"3190_2_18C","2","control",TRUE,TRUE
2022,3,33,17,1,"3.5","",NA,FALSE,"3190_2_18C","2","control",TRUE,TRUE
2023,0,NA,NA,NA,NA,"NP",NA,FALSE,"3190_2_18C","2","control",FALSE,FALSE
2019,1,NA,11.5,0,NA,"",NA,FALSE,"3191_1_11A","1","irrigated",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3191_1_11A","1","irrigated",FALSE,FALSE
2021,0,NA,NA,NA,NA,"NP",NA,FALSE,"3191_1_11A","1","irrigated",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP. Tag pulled",NA,FALSE,"3191_1_11A","1","irrigated",FALSE,FALSE
2016,7,NA,7.9,1,"2.4","Half dead",NA,FALSE,"3191_5_6E","5","drought",TRUE,TRUE
2017,3,NA,7,2,"5","",NA,FALSE,"3191_5_6E","5","drought",TRUE,TRUE
2018,1,14,14,0,NA,"",NA,FALSE,"3191_5_6E","5","drought",TRUE,TRUE
2019,1,NA,11,0,NA,"",NA,FALSE,"3191_5_6E","5","drought",TRUE,TRUE
2020,1,NA,12.2,0,NA,"",NA,FALSE,"3191_5_6E","5","drought",TRUE,TRUE
2021,0,NA,NA,NA,NA,"NP","NA; survival imputed based on subsq. record",TRUE,"3191_5_6E","5","drought",FALSE,TRUE
2022,2,NA,22.5,0,NA,"",NA,FALSE,"3191_5_6E","5","drought",TRUE,TRUE
2023,2,30,15,1,"4","",NA,FALSE,"3191_5_6E","5","drought",TRUE,TRUE
2019,1,NA,7.5,0,NA,"",NA,FALSE,"3192_1_11B","1","irrigated",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3192_1_11B","1","irrigated",FALSE,TRUE
2021,3,33,14,1,"1","",NA,FALSE,"3192_1_11B","1","irrigated",TRUE,TRUE
2022,2,38,15,1,"5","",NA,FALSE,"3192_1_11B","1","irrigated",TRUE,TRUE
2023,5,44,20.5,2,"SOS","",NA,FALSE,"3192_1_11B","1","irrigated",TRUE,TRUE
2016,7,NA,10.1,2,"3","",NA,FALSE,"3192_5_4C","5","drought",TRUE,TRUE
2017,6,NA,11,1,"2.5","",NA,FALSE,"3192_5_4C","5","drought",TRUE,TRUE
2018,3,11,10,1,"2.8","",NA,FALSE,"3192_5_4C","5","drought",TRUE,TRUE
2019,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3192_5_4C","5","drought",FALSE,FALSE
2020,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3192_5_4C","5","drought",FALSE,FALSE
2021,0,NA,NA,NA,NA,"NP",NA,FALSE,"3192_5_4C","5","drought",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP. Tag pulled",NA,FALSE,"3192_5_4C","5","drought",FALSE,FALSE
2019,1,17,15,1,"3","",NA,FALSE,"3193_1_16C","1","irrigated",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3193_1_16C","1","irrigated",FALSE,TRUE
2021,1,NA,20,0,NA,"",NA,FALSE,"3193_1_16C","1","irrigated",TRUE,TRUE
2022,0,NA,NA,NA,NA,"NP","NA; survival imputed based on subsq. record",TRUE,"3193_1_16C","1","irrigated",FALSE,TRUE
2023,2,24.5,20,1,"5","",NA,FALSE,"3193_1_16C","1","irrigated",TRUE,TRUE
2016,10,NA,6,2,"5.5","",NA,FALSE,"3193_5_3B","5","drought",TRUE,TRUE
2017,5,NA,9.5,3,"5","",NA,FALSE,"3193_5_3B","5","drought",TRUE,TRUE
2018,5,25.5,12,1,"4","",NA,FALSE,"3193_5_3B","5","drought",TRUE,TRUE
2019,1,NA,11,0,NA,"",NA,FALSE,"3193_5_3B","5","drought",TRUE,TRUE
2020,3,NA,19,0,NA,"",NA,FALSE,"3193_5_3B","5","drought",TRUE,TRUE
2021,2,NA,17.5,0,NA,"",NA,FALSE,"3193_5_3B","5","drought",TRUE,TRUE
2022,6,25,20.5,1,"2.5","",NA,FALSE,"3193_5_3B","5","drought",TRUE,TRUE
2023,2,23,10,1,NA,"dead umbel",NA,FALSE,"3193_5_3B","5","drought",TRUE,TRUE
2019,1,NA,18.5,0,NA,"",NA,FALSE,"3194_1_12H","1","irrigated",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3194_1_12H","1","irrigated",FALSE,TRUE
2021,1,NA,14,0,NA,"",NA,FALSE,"3194_1_12H","1","irrigated",TRUE,TRUE
2022,1,NA,30,0,NA,"",NA,FALSE,"3194_1_12H","1","irrigated",TRUE,TRUE
2023,3,34,16,2,"SOS","",NA,FALSE,"3194_1_12H","1","irrigated",TRUE,TRUE
2016,3,NA,6.8,1,"1.7","",NA,FALSE,"3194_5_3C","5","drought",TRUE,TRUE
2017,5,NA,12,3,"2","",NA,FALSE,"3194_5_3C","5","drought",TRUE,TRUE
2018,2,12,12,0,NA,"",NA,FALSE,"3194_5_3C","5","drought",TRUE,TRUE
2019,1,NA,13,0,NA,"",NA,FALSE,"3194_5_3C","5","drought",TRUE,TRUE
2020,1,NA,11.1,0,NA,"",NA,FALSE,"3194_5_3C","5","drought",TRUE,TRUE
2021,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3194_5_3C","5","drought",FALSE,FALSE
2022,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3194_5_3C","5","drought",FALSE,FALSE
